,מס' לקוח,שם לקוח,מק'ט,תאור מוצר,תאור משפחה,שם ספק מועדף,מחיר ליחידה,הנחה (%),הנחה כללית (%),שם סוכן,עמלת סוכן (%),חשבונית,עלות (שח),עלות יצוא (שח),עלויות נוספות(שח),סה'כ עלויות (שח),סהכ חייב בעמלה שח,סכום בהזמנה (שח),כמות ביח' מפעל,כמות בהזמנה,יתרה בהזמנה,כמות בהזמנה-יח' מפעל,סכום כולל מע'מ מ.חש',% רווח ביחס למחיר,% רווח ביחס לעלות,רווח (שח),סכום (שח),כמות,כמות (ללא סיכום),% רווח לעלות + סיכום,% רווח למחיר + סיכום,סה'כ עמלת סוכן שח,תאריך,ת.אספקה בהזמנה
23,200005,אל עבודי מוסך,46780365GSP,ציריה שמאל T5 נפח 2.5 עד 09 גיר רגיל + אוטומט,ציריות,GSP,540.0,50.0,0.0,רשות פלסטינית,3.0,SI246000112,156.59,0.0,0.0,156.59,269.99,269.99,1,1,0,1,6596.0,39.0,67.24,105.3,269.99,1,1,67.24,39.0,8.09,2024-03-26,17/03/2024
24,200005,אל עבודי מוסך,47780553GSP,פעמון T5 נפח 2.5,פעמונים,GSP,248.0,50.0,0.0,רשות פלסטינית,3.0,SI246000112,372.05,0.0,0.0,372.05,619.98,619.99,5,5,0,5,6596.0,36.98,61.63,229.33,619.98,5,5,61.63,36.98,18.59,2024-03-26,17/03/2024
25,200005,אל עבודי מוסך,47781503GSP,פעמון קאדי 08+ גיר רגיל/סופרב 06+ חור 30,פעמונים,GSP,224.0,50.0,0.0,רשות פלסטינית,3.0,SI246000112,673.4,0.0,0.0,673.4,1119.97,1119.98,10,10,0,10,6596.0,36.87,61.32,412.97,1119.97,10,10,61.32,36.87,33.59,2024-03-26,17/03/2024
26,200005,אל עבודי מוסך,48610102GSP,נאבה קד איביזה 17+/ארונה/טיקרוס 20+/סקאלה 19 A1/+19+/קאמיק,נאבות,GSP,256.0,50.0,0.0,רשות פלסטינית,3.0,SI246000112,184.74,0.0,0.0,184.74,383.99,383.99,3,3,0,3,6596.0,48.88,101.61,187.73,383.99,3,3,101.61,48.88,11.51,2024-03-26,17/03/2024
27,200005,אל עבודי מוסך,48780369GSP,נאבה קד+אח 03 T5+/טוארג 04+,נאבות,GSP,279.0,50.0,0.0,רשות פלסטינית,3.0,SI246000437,362.4,0.0,0.0,362.4,557.99,557.97,4,4,0,4,10585.0,32.05,49.35,178.85,557.99,4,4,49.35,32.05,16.73,2024-08-10,07/10/2024
28,200005,אל עבודי מוסך,48781602GSP,נאבה קד קראפטר 18+,נאבות,GSP,630.0,50.0,0.0,רשות פלסטינית,3.0,SI246000437,261.5,0.0,0.0,261.5,629.99,629.97,2,2,0,2,10585.0,55.49,133.68,349.59,629.99,2,2,133.68,55.49,18.89,2024-08-10,07/10/2024
29,200005,אל עבודי מוסך,50021078BIRTH,תושבת מנוע ימין 12 Q3+/אלהמברה/טיגואן 08+,תושבות מנוע,BIRTH,307.0,50.0,0.0,דניאל שירזי,3.0,SI246000010,153.0,0.0,0.0,153.0,153.49,153.57,1,1,0,1,7387.0,-2.68,-2.68,-4.11,153.49,1,1,-2.68,-2.68,4.6,2024-01-15,14/01/2024
30,200005,אל עבודי מוסך,50551927GSP,תושבת מנוע שמאל קשקאי מושלמת,תושבות מנוע,GSP,620.0,50.0,0.0,דניאל שירזי,3.0,SI246000010,148.38,0.0,0.0,148.38,309.99,0.0,1,0,0,0,7387.0,49.13,102.64,152.31,309.99,1,1,102.64,49.13,9.29,2024-01-15,
31,200005,אל עבודי מוסך,56492308EXEDY,סט מצמד האנטר 15+ טריטון קוטר 270,מצמדים,EXEDY,1195.0,0.0,0.0,רשות פלסטינית,3.0,SI246000437,1157.0,0.0,0.0,1157.0,2389.96,2389.9,2,2,0,2,10585.0,48.58,100.36,1161.26,2389.96,2,2,100.36,48.58,71.69,2024-08-10,07/10/2024
32,200005,אל עבודי מוסך,59780302GSP,בולם קד T5,בולמים,GSP,287.0,50.0,0.0,רשות פלסטינית,3.0,SI246000437,402.24,0.0,0.0,402.24,573.99,573.97,4,4,0,4,10585.0,26.92,38.41,154.53,573.99,4,4,38.41,26.92,17.21,2024-08-10,07/10/2024
33,200005,אל עבודי מוסך,59780302GSP,בולם קד T5,בולמים,GSP,287.0,55.0,0.0,רשות פלסטינית,3.0,SI246000382,603.36,0.0,0.0,603.36,774.85,774.9,6,6,0,6,2198.0,19.13,24.56,148.24,774.85,6,6,24.56,19.13,23.24,2024-02-09,25/08/2024
34,200005,אל עבודי מוסך,59780303GSP,בולם אח T5,בולמים,GSP,131.0,55.0,0.0,רשות פלסטינית,3.0,SI246000382,69.54,0.0,0.0,69.54,117.89,235.8,2,4,2,4,2198.0,38.01,64.44,44.81,117.89,2,2,64.44,38.01,3.53,2024-02-09,25/08/2024
35,200005,אל עבודי מוסך,61490825YAS,הגה כח האנטר,הגה כוח,YAS,580.0,0.0,0.0,רשות פלסטינית,3.0,SI246000094,1001.04,0.0,0.0,1001.04,2319.76,2319.79,4,4,0,4,1970.0,53.84,124.78,1249.12,2319.76,4,4,124.78,53.84,69.59,2024-04-03,04/03/2024
36,200005,אל עבודי מוסך,63580100DOLZ,מ.מים אוקטביה/סופרב/קאדי/קודיאק/קארוק 13+ נפח 1.6 TDI,משאבות מים,DOLZ,249.0,50.0,0.0,רשות פלסטינית,3.0,SI246000437,198.06,0.0,0.0,198.06,373.49,373.48,3,3,0,3,10585.0,43.97,82.91,164.22,373.49,3,3,82.91,43.97,11.2,2024-08-10,07/10/2024
37,200005,אל עבודי מוסך,63580271DOLZ,מ.מים סקודה יטי נפח 07 A4/15-19 2.0+/רפיד 15+,משאבות מים,DOLZ,150.0,50.0,0.0,רשות פלסטינית,3.0,SI246000162,-84.16,0.0,0.0,-84.16,-150.0,0.0,-2,0,0,0,1523.0,40.89,72.88,-61.34,-150.0,-2,-2,72.88,40.89,-4.5,2024-04-21,
38,200005,אל עבודי מוסך,71390904ER,משולש תח ימין 09-16 I800,משולשים,TEKNOROT,428.0,50.0,0.0,דניאל שירזי,3.0,SI246000010,135.11,0.0,0.0,135.11,213.99,214.0,1,1,0,1,7387.0,33.86,53.63,72.46,213.99,1,1,53.63,33.86,6.41,2024-01-15,14/01/2024
39,200005,אל עבודי מוסך,71390905ER,משולש תח שמאל 09-16 I800,משולשים,TEKNOROT,428.0,50.0,0.0,דניאל שירזי,3.0,SI246000010,130.86,0.0,0.0,130.86,213.99,214.0,1,1,0,1,7387.0,35.84,58.62,76.71,213.99,1,1,58.62,35.84,6.41,2024-01-15,14/01/2024
40,200005,אל עבודי מוסך,71490800ER,משולש על ימין האנטר 07-14,משולשים,TEKNOROT,130.0,0.0,0.0,רשות פלסטינית,3.0,SI246000112,311.1,0.0,0.0,311.1,389.99,389.99,3,3,0,3,6596.0,17.22,21.59,67.19,389.99,3,3,21.59,17.22,11.69,2024-03-26,17/03/2024
41,200005,אל עבודי מוסך,71490800ER,משולש על ימין האנטר 07-14,משולשים,TEKNOROT,130.0,0.0,0.0,רשות פלסטינית,3.0,SI246000437,207.4,0.0,0.0,207.4,260.0,259.98,2,2,0,2,10585.0,17.23,21.6,44.8,260.0,2,2,21.6,17.23,7.8,2024-08-10,07/10/2024
42,200005,אל עבודי מוסך,71490801ER,משולש על שמאל האנטר 07-14,משולשים,TEKNOROT,130.0,0.0,0.0,רשות פלסטינית,3.0,SI246000112,258.48,0.0,0.0,258.48,389.99,389.99,3,3,0,3,6596.0,30.72,46.35,119.81,389.99,3,3,46.35,30.72,11.69,2024-03-26,17/03/2024
43,200005,אל עבודי מוסך,71641302ER,משולש תח ימין ג'מפי 07+/אקספרט,משולשים,TEKNOROT,159.0,0.0,0.0,רשות פלסטינית,3.0,SI246000094,-163.11,0.0,0.0,-163.11,-318.0,0.0,-2,0,0,0,1970.0,45.7,89.11,-145.35,-318.0,-2,-2,89.11,45.7,-9.54,2024-04-03,
44,200005,אל עבודי מוסך,71641303ER,משולש תח שמאל ג'מפי 07+/אקספרט,משולשים,TEKNOROT,159.0,0.0,0.0,רשות פלסטינית,3.0,SI246000094,-244.0,0.0,0.0,-244.0,-318.0,0.0,-2,0,0,0,1970.0,20.27,26.41,-64.46,-318.0,-2,-2,26.41,20.27,-9.54,2024-04-03,
45,200005,אל עבודי מוסך,71641348ER,משולש תח ימין ג'מפי 17+,משולשים,TEKNOROT,250.53,50.0,0.0,דניאל שירזי,3.0,SI246000010,170.36,0.0,0.0,170.36,250.51,250.54,2,2,0,2,7387.0,28.99,42.63,72.63,250.51,2,2,42.63,28.99,7.51,2024-01-15,14/01/2024
46,200005,אל עבודי מוסך,71641348ER,משולש תח ימין ג'מפי 17+,משולשים,TEKNOROT,284.0,50.0,0.0,רשות פלסטינית,3.0,SI246000437,170.36,0.0,0.0,170.36,284.0,283.98,2,2,0,2,10585.0,37.01,61.7,105.12,284.0,2,2,61.7,37.01,8.52,2024-08-10,07/10/2024
47,200005,אל עבודי מוסך,71641349ER,משולש תח שמאל ג'מפי 17+,משולשים,TEKNOROT,250.53,50.0,0.0,דניאל שירזי,3.0,SI246000010,170.36,0.0,0.0,170.36,250.52,250.54,2,2,0,2,7387.0,28.99,42.64,72.64,250.52,2,2,42.64,28.99,7.51,2024-01-15,14/01/2024
48,200005,אל עבודי מוסך,71641349ER,משולש תח שמאל ג'מפי 17+,משולשים,TEKNOROT,284.0,50.0,0.0,רשות פלסטינית,3.0,SI246000437,170.36,0.0,0.0,170.36,283.99,283.98,2,2,0,2,10585.0,37.01,61.69,105.11,283.99,2,2,61.69,37.01,8.51,2024-08-10,07/10/2024
49,200005,אל עבודי מוסך,72390910ER,מייצב קד ימין I800/גרנדיס,מוטות מייצב,TEKNOROT,49.0,50.0,0.0,דניאל שירזי,3.0,SI246000010,77.3,0.0,0.0,77.3,122.49,122.5,5,5,0,5,7387.0,33.89,53.7,41.51,122.49,5,5,53.7,33.89,3.67,2024-01-15,14/01/2024
50,200005,אל עבודי מוסך,72390911ER,מייצב קד שמאל I800/גרנדיס,מוטות מייצב,TEKNOROT,49.0,50.0,0.0,דניאל שירזי,3.0,SI246000010,80.0,0.0,0.0,80.0,122.49,122.5,5,5,0,5,7387.0,31.68,48.51,38.81,122.49,5,5,48.51,31.68,3.67,2024-01-15,14/01/2024
51,200005,אל עבודי מוסך,72580102ER,מייצב קד אוקטביה 05+/גולף/פאסאט/קאדי/ג'טה/טולדו/טוראן/לאון,מוטות מייצב,TEKNOROT,19.0,0.0,0.0,דניאל שירזי,3.0,SI246000010,130.0,0.0,0.0,130.0,189.99,190.0,10,10,0,10,7387.0,28.57,41.76,54.29,189.99,10,10,41.76,28.57,5.69,2024-01-15,14/01/2024
52,200005,אל עבודי מוסך,72580104ER,מייצב קד אוקטביה 13+/גולף A3/סופרב 15+,מוטות מייצב,TEKNOROT,27.0,0.0,0.0,דניאל שירזי,3.0,SI246000010,200.0,0.0,0.0,200.0,269.99,270.01,10,10,0,10,7387.0,22.92,30.94,61.89,269.99,10,10,30.94,22.92,8.09,2024-01-15,14/01/2024
53,200005,אל עבודי מוסך,72641306ER,מייצב קד ג'מפי 07+/אקספרט/סקודו,מוטות מייצב,TEKNOROT,49.0,50.0,0.0,דניאל שירזי,3.0,SI246000010,160.0,0.0,0.0,160.0,244.99,245.0,10,10,0,10,7387.0,31.69,48.52,77.64,244.99,10,10,48.52,31.69,7.34,2024-01-15,14/01/2024
54,200005,אל עבודי מוסך,72761035GSP,מייצב קד ברלינגו 18+/פרטנר C4/+07 308/5008/3008/+18 פיקסו,מוטות מייצב,GSP,42.0,50.0,0.0,דניאל שירזי,3.0,SI246000010,122.7,0.0,0.0,122.7,209.99,210.26,10,10,0,10,7387.0,38.56,66.0,80.99,209.99,10,10,66.0,38.56,6.29,2024-01-15,14/01/2024
55,200005,אל עבודי מוסך,72780302ER,מייצב קד T5,מוטות מייצב,TEKNOROT,51.0,55.0,0.0,רשות פלסטינית,3.0,SI246000382,241.06,0.0,0.0,241.06,390.13,527.85,17,23,6,23,2198.0,35.21,56.98,137.36,390.13,17,17,56.98,35.21,11.7,2024-02-09,25/08/2024
56,200005,אל עבודי מוסך,72900700ER,מייצב קד סורנטו 15+,מוטות מייצב,TEKNOROT,65.0,50.0,0.0,דניאל שירזי,3.0,SI246000010,126.96,0.0,0.0,126.96,194.99,195.0,6,6,0,6,7387.0,31.88,48.97,62.18,194.99,6,6,48.97,31.88,5.84,2024-01-15,14/01/2024
57,200005,אל עבודי מוסך,73491614ER,ק.ה ימין פג'רו 01-06/האנטר,קצוות הגה,TEKNOROT,53.0,50.0,0.0,רשות פלסטינית,3.0,SI246000112,74.43,0.0,0.0,74.43,132.5,132.49,5,5,0,5,6596.0,40.82,72.67,54.09,132.5,5,5,72.67,40.82,3.97,2024-03-26,17/03/2024
58,200005,אל עבודי מוסך,73780325BAW,ק.ה ימין 03 T5+,קצוות הגה,BAW,20.0,0.0,0.0,דניאל שירזי,3.0,SI246000010,713.1,0.0,0.0,713.1,599.97,600.0,30,30,0,30,7387.0,-21.85,-18.38,-131.12,599.97,30,30,-18.38,-21.85,17.99,2024-01-15,14/01/2024
59,200005,אל עבודי מוסך,73780327BAW,ק.ה שמאל 03 T5+,קצוות הגה,BAW,20.0,0.0,0.0,דניאל שירזי,3.0,SI246000010,237.7,0.0,0.0,237.7,199.99,600.0,10,30,20,30,7387.0,-21.85,-18.38,-43.7,199.99,10,10,-18.38,-21.85,5.99,2024-01-15,14/01/2024
60,200005,אל עבודי מוסך,74491624ER,ב.ג תח פג'רו 01-11/האנטר,תפוחי פרונט,TEKNOROT,93.0,50.0,0.0,רשות פלסטינית,3.0,SI246000112,194.58,0.0,0.0,194.58,278.99,278.99,6,6,0,6,6596.0,27.25,39.07,76.04,278.99,6,6,39.07,27.25,8.36,2024-03-26,17/03/2024
61,200005,אל עבודי מוסך,74780304ER,ב.ג תח T5,תפוחי פרונט,TEKNOROT,26.0,0.0,0.0,דניאל שירזי,3.0,SI246000010,184.0,0.0,0.0,184.0,259.99,260.01,10,10,0,10,7387.0,26.22,37.05,68.19,259.99,10,10,37.05,26.22,7.79,2024-01-15,14/01/2024
62,200005,אל עבודי מוסך,90480808GSP,מיכל עיבוי קראפטר 07+/ספרינטר 07+,מיכלי עיבוי,GSP,174.0,50.0,0.0,דניאל שירזי,3.0,SI246000010,106.68,0.0,0.0,106.68,173.99,174.08,2,2,0,2,7387.0,35.68,58.2,62.09,173.99,2,2,58.2,35.68,5.21,2024-01-15,14/01/2024
63,200005,אל עבודי מוסך,90480808GSP,מיכל עיבוי קראפטר 07+/ספרינטר 07+,מיכלי עיבוי,GSP,174.0,50.0,0.0,דניאל שירזי,3.0,SI246000203,106.68,0.0,0.0,106.68,173.99,174.05,2,2,0,2,1866.0,35.68,58.2,62.09,173.99,2,2,58.2,35.68,5.21,2024-05-26,13/12/2023
64,200005,אל עבודי מוסך,90580101GSP,מיכל עיבוי אוקטביה 13+/סופרב 15+/יטי 14+/גולף 14+,מיכלי עיבוי,GSP,91.0,50.0,0.0,דניאל שירזי,3.0,SI246000203,57.48,0.0,0.0,57.48,90.99,91.03,2,2,0,2,1866.0,33.82,53.54,30.78,90.99,2,2,53.54,33.82,2.72,2024-05-26,13/12/2023
65,200005,אל עבודי מוסך,99760066,דמי משלוח חבילה,קניות שונות,ספקים שונים,5.0,0.0,0.0,דניאל שירזי,3.0,SI246000203,5.0,0.0,0.0,5.0,5.0,5.0,1,1,0,1,1866.0,-3.0,-3.0,-0.15,5.0,1,1,-3.0,-3.0,0.15,2024-05-26,13/12/2023
66,200005,אל עבודי מוסך,99760066,דמי משלוח חבילה,קניות שונות,ספקים שונים,5.0,0.0,0.0,רשות פלסטינית,3.0,SI246000112,5.0,0.0,0.0,5.0,5.0,4.99,1,1,0,1,6596.0,-3.0,-3.0,-0.15,5.0,1,1,-3.0,-3.0,0.15,2024-03-26,20/03/2024
67,200005,אל עבודי מוסך,99760066,דמי משלוח חבילה,קניות שונות,ספקים שונים,5.0,0.0,0.0,רשות פלסטינית,3.0,SI246000112,5.0,0.0,0.0,5.0,5.0,4.99,1,1,0,1,6596.0,-3.0,-3.0,-0.15,5.0,1,1,-3.0,-3.0,0.15,2024-03-26,17/03/2024
68,200005,אל עבודי מוסך,99760066,דמי משלוח חבילה,קניות שונות,ספקים שונים,5.0,0.0,0.0,רשות פלסטינית,3.0,SI246000162,5.0,0.0,0.0,5.0,5.0,5.0,1,1,0,1,1523.0,-3.0,-3.0,-0.15,5.0,1,1,-3.0,-3.0,0.15,2024-04-21,21/04/2024
69,200005,אל עבודי מוסך,99760066,דמי משלוח חבילה,קניות שונות,ספקים שונים,5.0,0.0,0.0,רשות פלסטינית,3.0,SI246000203,5.0,0.0,0.0,5.0,5.0,4.99,1,1,0,1,1866.0,-3.0,-3.0,-0.15,5.0,1,1,-3.0,-3.0,0.15,2024-05-26,16/05/2024
70,200005,אל עבודי מוסך,99760066,דמי משלוח חבילה,קניות שונות,ספקים שונים,5.0,0.0,0.0,רשות פלסטינית,3.0,SI246000279,5.0,0.0,0.0,5.0,5.0,5.0,1,1,0,1,2007.0,-3.0,-3.0,-0.15,5.0,1,1,-3.0,-3.0,0.15,2024-02-07,13/06/2024
71,200005,אל עבודי מוסך,99760066,דמי משלוח חבילה,קניות שונות,ספקים שונים,5.0,0.0,0.0,רשות פלסטינית,3.0,SI246000382,5.0,0.0,0.0,5.0,5.0,5.0,1,1,0,1,2198.0,-3.0,-3.0,-0.15,5.0,1,1,-3.0,-3.0,0.15,2024-02-09,25/08/2024
72,200005,אל עבודי מוסך,99760066,דמי משלוח חבילה,קניות שונות,ספקים שונים,5.0,0.0,0.0,רשות פלסטינית,3.0,SI246000437,5.0,0.0,0.0,5.0,5.0,4.99,1,1,0,1,10585.0,-3.0,-3.0,-0.15,5.0,1,1,-3.0,-3.0,0.15,2024-08-10,07/10/2024
73,200005,אל עבודי מוסך,D4780303DOLZ,ק.טיימינג T5 1.9/קאדי עד 07/פביה 1.4 דיזל/פאסאט 02+,סטים טיימינג,DOLZ,199.0,0.0,0.0,רשות פלסטינית,3.0,SI246000162,698.85,0.0,0.0,698.85,995.13,995.08,5,5,0,5,1523.0,26.77,38.12,266.42,995.13,5,5,38.12,26.77,29.85,2024-04-21,21/04/2024
74,200005,אל עבודי מוסך,D7580101ENGI,מותח רצועה אוקטביה 07+/בורה 99+/גולף AXB T5/+02,מותח רצועה,AUTOROAD PAI,116.0,50.0,0.0,דניאל שירזי,3.0,SI246000010,121.47,0.0,0.0,121.47,174.0,174.0,3,3,0,3,7387.0,27.18,38.94,47.31,174.0,3,3,38.94,27.18,5.22,2024-01-15,14/01/2024
