,תאריך ההזמנה,מתאריך,עד תאריך,תאריך אספקה,ת. סיום מתוכנן,ת. מבוקש,מספר לקוח,שם לקוח,מספר הזמנה,סטטוס הזמנה,סגורה חלקית,ספק מועדף,שם ספק מועדף,מק'ט,תאור מוצר,מק'ט לקוח,תיאור מק'ט לקוח,עלות (שורת הזמנה),לביצוע ע'י,מס' סוכן,שם סוכן,עמלת סוכן (%),הז. פנקס,כמות,רווח (שח),סכום (שח),עמלת סוכן ראשון,כמות ביח' מפעל,שווי יתרה,שווי יתרה (שח),יתרה לאספקה
10,01/01/2024,,,01/01/2024,,01/01/2024,200024,פ.כפאח חלקי חילוף,SO24000210,טיוטא,,255047.0,GSP,46392225GSP,ציריה ימין סנטה פה 2.7 07-12,,,182.96,shaia,5,עזרא תמיר,3.0,,1,96.4,288.03,8.64,1,288.04,288.03,1
11,01/01/2024,,,01/01/2024,,01/01/2024,200024,פ.כפאח חלקי חילוף,SO24000210,טיוטא,,255047.0,GSP,50392208GSP,תושבת מנוע ימין סנטה פה 07-12/סורנטו 10+ 2.2 דיזל,,,112.68,shaia,5,עזרא תמיר,3.0,,1,70.65,189.02,5.67,1,189.02,189.02,1
12,01/01/2024,,,01/01/2024,,01/01/2024,200024,פ.כפאח חלקי חילוף,SO24000210,טיוטא,,255060.0,DEFU,60310519DEFU,משאבת הגה כח אקורד 03-08,,,179.4,shaia,5,עזרא תמיר,3.0,,1,168.64,358.84,10.77,1,358.85,358.84,1
13,01/01/2024,,,01/01/2024,,01/01/2024,200024,פ.כפאח חלקי חילוף,SO24000210,טיוטא,,255063.0,DOLZ,63781347DOLZ,מ.מים פאסאט 08+נפח 1.8 מנועי TSI/אוקטביה 08+ מושלמת,,,263.8,shaia,5,עזרא תמיר,3.0,,1,107.23,382.54,11.48,1,382.55,382.54,1
14,01/01/2024,,,01/01/2024,,01/01/2024,200024,פ.כפאח חלקי חילוף,SO24000210,טיוטא,,255079.0,BAW,71962620BAW,משולש תח ימין סילברדו עד 10/יוקון/סיירה/H2/סוברבן,,,305.0,shaia,5,עזרא תמיר,3.0,,1,-16.43,297.53,8.93,1,297.54,297.53,1
15,01/01/2024,,,01/01/2024,,01/01/2024,200024,פ.כפאח חלקי חילוף,SO24000210,טיוטא,,255079.0,BAW,75491671BAW,ז.עזר פג'רו/טארקן,,,76.35,shaia,5,עזרא תמיר,3.0,,1,20.65,100.01,3.0,1,100.01,100.01,1
16,01/01/2024,,,01/01/2024,,01/01/2024,200024,פ.כפאח חלקי חילוף,SO24000210,טיוטא,,255560.0,OSSCA,10020505KOR,קויל 05 A6/+10 Q7/+09 Q5/+05 A8/+11 A7/A5/+08 A4+,,,46.9,shaia,5,עזרא תמיר,3.0,,1,107.33,159.02,4.77,1,159.02,159.02,1
17,01/01/2024,,,01/01/2024,,01/01/2024,200024,פ.כפאח חלקי חילוף,SO24000210,טיוטא,,255560.0,OSSCA,32486964KOR,חיישן ד.ב קד + אח מרצדס 14 C220 W205 W246+,,,2.35,shaia,5,עזרא תמיר,3.0,,1,-2.35,0.0,0.0,1,0.0,0.0,1
18,01/01/2024,,,01/01/2024,,01/01/2024,200024,פ.כפאח חלקי חילוף,SO24000210,טיוטא,,255560.0,OSSCA,50310909KOR,תושבת מנוע ימין סיוויק 12+ נפח 1.8,,,122.15,shaia,5,עזרא תמיר,3.0,,1,78.16,206.52,6.2,1,206.53,206.52,1
19,01/01/2024,,,01/01/2024,,01/01/2024,200024,פ.כפאח חלקי חילוף,SO24000210,טיוטא,,255560.0,OSSCA,50391415KOR,תושבת מנוע אח גטס 02-10,,,45.44,shaia,5,עזרא תמיר,3.0,,1,29.25,77.01,2.31,1,77.01,77.01,1
20,01/01/2024,,,01/01/2024,,01/01/2024,200024,פ.כפאח חלקי חילוף,SO24000210,טיוטא,,255560.0,OSSCA,63781315KOR,מ.מים פאסאט 08+ נפח 1.8 מנועי TSI עם בית/אוקטביה 08+,,,128.5,shaia,5,עזרא תמיר,3.0,,1,61.38,195.77,5.87,1,195.78,195.77,1
21,01/01/2024,,,01/01/2024,,01/01/2024,200024,פ.כפאח חלקי חילוף,SO24000210,טיוטא,,255560.0,OSSCA,B7020505KOR,חיישן קראנק A4/סופרב 05-06/פאסאט 03-05,,,30.0,shaia,5,עזרא תמיר,3.0,,1,86.4,120.01,3.6,1,120.02,120.01,1
22,01/01/2024,,,01/01/2024,,01/01/2024,200056,אריאל סחר,SO24000187,שולמה,Y,255047.0,GSP,46371217GSP,ציריה ימין סיינה 11-19 לפי שילדה,,,239.87,idang,17,משה ונטורה,3.0,,1,136.01,387.31,11.62,1,0.0,0.0,0
23,01/01/2024,,,01/01/2024,,01/01/2024,200056,אריאל סחר,SO24000187,שולמה,Y,260901.0,ספקים שונים,99760066,דמי משלוח חבילה,,,5.0,idang,17,משה ונטורה,3.0,,1,-0.15,4.99,0.15,1,0.0,0.0,0
24,01/01/2024,,,01/01/2024,,01/01/2024,200058,אוטו חלף עפולה,SO24000193,שולמה,Y,255047.0,GSP,68550704GSP,הגה מכני טידה 08-12/נוט עד 14,,,217.07,ilanc,3,ישראל בנינפלד,3.0,,1,102.06,329.12,9.87,1,0.0,0.0,0
25,01/01/2024,,,01/01/2024,,01/01/2024,200058,אוטו חלף עפולה,SO24000193,שולמה,Y,255079.0,BAW,73451629BAW,ק.ה מזדה 626/לנטיס 99+/פרמסי/אלמרה פרפקט 99+,,,13.01,ilanc,3,ישראל בנינפלד,3.0,,6,4.88,85.53,2.57,6,0.0,0.0,0
26,01/01/2024,,,01/01/2024,,01/01/2024,200058,אוטו חלף עפולה,SO24000193,שולמה,Y,260901.0,ספקים שונים,99760066,דמי משלוח חבילה,,,5.0,ilanc,3,ישראל בנינפלד,3.0,,1,-0.15,5.0,0.15,1,0.0,0.0,0
27,01/01/2024,,,01/01/2024,,01/01/2024,200071,"מרכז חלפים אל הר שיווק בע""מ",SO24000041,שולמה,Y,255064.0,ATC,63020410ATC,מ.מים A3 נפח 1.9 05+/אוקטביה נפח 1.9 05+/גולף,,,52.3,tabula,1,יהודה קורן,3.0,132659.0,2,21.51,129.96,3.9,2,0.0,0.0,0
28,01/01/2024,,,01/01/2024,,01/01/2024,200071,"מרכז חלפים אל הר שיווק בע""מ",SO24000041,שולמה,Y,255064.0,ATC,63310909ATC,מ.מים סיוויק 07+,,,53.5,tabula,1,יהודה קורן,3.0,132659.0,2,26.87,137.96,4.14,2,0.0,0.0,0
29,01/01/2024,,,01/01/2024,,01/01/2024,200071,"מרכז חלפים אל הר שיווק בע""מ",SO24000041,שולמה,Y,255064.0,ATC,63370949ATC,מ.מים יאריס 1.5 + 1.3 עד 02/פריוס 05+,,,38.3,tabula,1,יהודה קורן,3.0,132659.0,2,18.47,97.97,2.94,2,0.0,0.0,0
30,01/01/2024,,,01/01/2024,,01/01/2024,200071,"מרכז חלפים אל הר שיווק בע""מ",SO24000041,שולמה,Y,255064.0,ATC,63491004ATC,מ.מים לנסר 1.5 09+/אאוטלנדר 2.4 07-12,,,50.4,tabula,1,יהודה קורן,3.0,132659.0,2,25.3,129.95,3.9,2,0.0,0.0,0
31,01/01/2024,,,01/01/2024,,01/01/2024,200071,"מרכז חלפים אל הר שיווק בע""מ",SO24000041,שולמה,Y,255064.0,ATC,63580204ATC,מ.מים סקודה יטי נפח 07 A4/15-19 2.0+/רפיד 15+,,,46.1,tabula,1,יהודה קורן,3.0,132659.0,2,22.26,117.95,3.54,2,0.0,0.0,0
32,01/01/2024,,,01/01/2024,,01/01/2024,200071,"מרכז חלפים אל הר שיווק בע""מ",SO24000041,שולמה,Y,255064.0,ATC,63800204ATC,מ.מים פיאט 500 08+/גרנד פונטו 1.4/פנדה 1.2 03+,,,52.3,tabula,1,יהודה קורן,3.0,132659.0,3,14.77,176.91,5.31,3,0.0,0.0,0
33,01/01/2024,,,01/01/2024,,01/01/2024,200071,"מרכז חלפים אל הר שיווק בע""מ",SO24000041,שולמה,Y,260901.0,ספקים שונים,99760066,דמי משלוח חבילה,,,5.0,tabula,1,יהודה קורן,3.0,132659.0,1,-0.15,4.99,0.15,1,0.0,0.0,0
34,01/01/2024,,,01/01/2024,,01/01/2024,200072,הלל שטיינברג,SO24000241,שולמה,Y,255042.0,LONGKOU,41391743LONGKOU,צ.ב קד טוסון 15+/ספורטאז 15+/סונטה 18 I30/+15+/קונה/סיד 19+,,,55.0,idang,7,דלפק,3.0,,10,145.73,717.29,21.52,10,0.0,0.0,0
35,01/01/2024,,,01/01/2024,,01/01/2024,200072,הלל שטיינברג,SO24000241,שולמה,Y,255065.0,LPR,36760403LPR,נ.ב 206 ללא ABS,,,27.78,idang,7,דלפק,3.0,,1,12.64,41.67,1.25,1,0.0,0.0,0
36,01/01/2024,,,01/01/2024,,01/01/2024,200084,"גימי חלקי חילוף אביזרי רכב בע""מ",SO24000120,שולמה,Y,255047.0,GSP,68900707GSP,הגה מכני סורנטו 15+ (חשמלי),,,338.8,shaia,22,ישראל בליטי,3.0,,1,154.01,507.82,15.23,1,0.0,0.0,0
37,01/01/2024,,,01/01/2024,,01/01/2024,200084,"גימי חלקי חילוף אביזרי רכב בע""מ",SO24000120,שולמה,Y,260901.0,ספקים שונים,99760066,דמי משלוח חבילה,,,5.0,shaia,22,ישראל בליטי,3.0,,1,-0.15,4.99,0.15,1,0.0,0.0,0
38,01/01/2024,,,01/01/2024,,01/01/2024,200084,"גימי חלקי חילוף אביזרי רכב בע""מ",SO24000140,שולמה,Y,255083.0,TEKNOROT,73761526ER,ק.ה שמאל פיג'ו 508 10-18,,,17.78,shaia,22,ישראל בליטי,3.0,,1,6.47,25.21,0.76,1,0.0,0.0,0
39,01/01/2024,,,01/01/2024,,01/01/2024,200084,"גימי חלקי חילוף אביזרי רכב בע""מ",SO24000140,שולמה,Y,255083.0,TEKNOROT,73761727ER,ק.ה ימין פיג'ו 508 10-18,,,17.78,shaia,22,ישראל בליטי,3.0,,1,6.47,25.21,0.76,1,0.0,0.0,0
40,01/01/2024,,,01/01/2024,,01/01/2024,200084,"גימי חלקי חילוף אביזרי רכב בע""מ",SO24000246,שולמה,Y,255042.0,LONGKOU,41451245LONGKOU,צ.ב קד מזדה 3 2.0 13+,,,44.8,shaia,22,ישראל בליטי,3.0,,2,40.48,134.08,4.02,2,0.0,0.0,0
41,01/01/2024,,,01/01/2024,,01/01/2024,200084,"גימי חלקי חילוף אביזרי רכב בע""מ",SO24000246,שולמה,Y,255042.0,LONGKOU,41451555LONGKOU,צ.ב קד מזדה 6 08-12 קוטר 298,,,39.9,shaia,22,ישראל בליטי,3.0,,4,105.79,273.56,8.21,4,0.0,0.0,0
42,01/01/2024,,,01/01/2024,,01/01/2024,200084,"גימי חלקי חילוף אביזרי רכב בע""מ",SO24000246,שולמה,Y,255042.0,LONGKOU,41550345LONGKOU,צ.ב קד אקסטרייל 15+ קוטר 320,,,73.0,shaia,22,ישראל בליטי,3.0,,4,57.2,359.94,10.8,4,0.0,0.0,0
43,01/01/2024,,,01/01/2024,,01/01/2024,200084,"גימי חלקי חילוף אביזרי רכב בע""מ",SO24000246,שולמה,Y,255047.0,GSP,46641249GSP,ציריה שמאל ברלינגו 11 HDI 1.6+,,,161.19,shaia,22,ישראל בליטי,3.0,,2,132.45,468.83,14.07,2,0.0,0.0,0
44,01/01/2024,,,01/01/2024,,01/01/2024,200084,"גימי חלקי חילוף אביזרי רכב בע""מ",SO24000246,שולמה,Y,255047.0,GSP,46641250GSP,ציריה ימין ברלינגו 11 HDI 1.6+,,,183.72,shaia,22,ישראל בליטי,3.0,,2,150.25,533.62,16.01,2,0.0,0.0,0
45,01/01/2024,,,01/01/2024,,01/01/2024,200084,"גימי חלקי חילוף אביזרי רכב בע""מ",SO24000246,שולמה,Y,255047.0,GSP,50371650GSP,תושבת מנוע על ימין קמרי 07+ 2.4 משקפיים,,,34.0,shaia,22,ישראל בליטי,3.0,,2,23.67,94.48,2.83,2,0.0,0.0,0
46,01/01/2024,,,01/01/2024,,01/01/2024,200084,"גימי חלקי חילוף אביזרי רכב בע""מ",SO24000246,שולמה,Y,255065.0,LPR,35485941LPR,ד.ב קד קראפטר 17+,,,72.0,shaia,22,ישראל בליטי,3.0,,1,43.24,118.78,3.56,1,0.0,0.0,0
47,01/01/2024,,,01/01/2024,,01/01/2024,200084,"גימי חלקי חילוף אביזרי רכב בע""מ",SO24000246,שולמה,Y,255083.0,TEKNOROT,70970400ER,מ.ה דודג קליבר 07-12/פטריוט/קומפאס 07+,,,13.57,shaia,22,ישראל בליטי,3.0,,4,16.82,73.28,2.2,4,0.0,0.0,0
48,01/01/2024,,,01/01/2024,,01/01/2024,200084,"גימי חלקי חילוף אביזרי רכב בע""מ",SO24000246,שולמה,Y,255083.0,TEKNOROT,73551930ER,ק.ה ימין קשקאי 14+,,,21.0,shaia,22,ישראל בליטי,3.0,,5,34.68,143.97,4.32,5,0.0,0.0,0
49,01/01/2024,,,01/01/2024,,01/01/2024,200084,"גימי חלקי חילוף אביזרי רכב בע""מ",SO24000246,שולמה,Y,255083.0,TEKNOROT,73551931ER,ק.ה שמאל קשקאי 14+,,,21.0,shaia,22,ישראל בליטי,3.0,,5,34.68,143.97,4.32,5,0.0,0.0,0
50,01/01/2024,,,01/01/2024,,01/01/2024,200084,"גימי חלקי חילוף אביזרי רכב בע""מ",SO24000246,שולמה,Y,260901.0,ספקים שונים,99760066,דמי משלוח חבילה,,,5.0,shaia,22,ישראל בליטי,3.0,,1,-0.15,4.99,0.15,1,0.0,0.0,0
51,01/01/2024,,,01/01/2024,,01/01/2024,200086,"דנון ובניו ח""ח בע""מ",SO24000254,טיוטא,,255047.0,GSP,46020746GSP,ציריה ימין+שמאל A6 2016 נפח 2.0,,,186.14,idang,10,עידן גלעד,3.0,,1,130.08,326.03,9.78,1,326.03,326.03,1
52,01/01/2024,,,01/01/2024,,01/01/2024,200086,"דנון ובניו ח""ח בע""מ",SO24000254,טיוטא,,255071.0,TOTAL,71390129TOTAL,משולש על שמאל L400/H1,,,79.04,idang,10,עידן גלעד,3.0,,1,28.3,110.67,3.32,1,110.67,110.67,1
53,01/01/2024,,,01/01/2024,,01/01/2024,200086,"דנון ובניו ח""ח בע""מ",SO24000254,טיוטא,,255071.0,TOTAL,71390131TOTAL,משולש על ימין L400/H1,,,79.04,idang,10,עידן גלעד,3.0,,1,28.3,110.67,3.32,1,110.67,110.67,1
54,01/01/2024,,,01/01/2024,,01/01/2024,200086,"דנון ובניו ח""ח בע""מ",SO24000254,טיוטא,,255079.0,BAW,71371410BAW,משולש תח שמאל פריוס 09-15,,,76.25,idang,10,עידן גלעד,3.0,,1,49.48,129.63,3.89,1,129.63,129.63,1
55,01/01/2024,,,01/01/2024,,01/01/2024,200086,"דנון ובניו ח""ח בע""מ",SO24000254,טיוטא,,255079.0,BAW,71371411BAW,משולש תח ימין פריוס 09-15,,,76.25,idang,10,עידן גלעד,3.0,,1,49.48,129.63,3.89,1,129.63,129.63,1
56,01/01/2024,,,01/01/2024,,01/01/2024,200086,"דנון ובניו ח""ח בע""מ",SO24000254,טיוטא,,255083.0,TEKNOROT,71451428ER,משולש תח ימין מזדה 6 08-12,,,234.0,idang,10,עידן גלעד,3.0,,1,115.2,360.03,10.8,1,360.04,360.03,1
57,01/01/2024,,,01/01/2024,,01/01/2024,200086,"דנון ובניו ח""ח בע""מ",SO24000254,טיוטא,,255083.0,TEKNOROT,71451429ER,משולש תח שמאל מזדה 6 08-12,,,211.27,idang,10,עידן גלעד,3.0,,1,79.73,300.03,9.0,1,300.03,300.03,1
58,01/01/2024,,,01/01/2024,,01/01/2024,200086,"דנון ובניו ח""ח בע""מ",SO24000254,טיוטא,,260666.0,"דיסקל שיפוצים ת""א",04620255,הגה מחודש B4 // B9 // פורסטר /אאוטבק חשמלי,,,0.0,idang,10,עידן גלעד,3.0,,1,873.0,900.09,27.0,1,900.09,900.09,1
59,01/01/2024,,,01/01/2024,,01/01/2024,200086,"דנון ובניו ח""ח בע""מ",SO24000254,טיוטא,,260901.0,ספקים שונים,99760066,דמי משלוח חבילה,,,5.0,idang,10,עידן גלעד,3.0,,1,-0.15,5.0,0.15,1,5.0,5.0,1
60,01/01/2024,,,01/01/2024,,01/01/2024,200087,"ביגלי ג'וני בע""מ",SO24000111,שולמה,Y,255001.0,FANGTIAN,35391393MATEC,ד.ב קד אקסנט עד 06/גטס/סובארו ג'סטי 1.2,,,16.0,tabula,1,יהודה קורן,3.0,132670.0,5,41.24,124.97,3.75,5,124.98,124.97,5
61,01/01/2024,,,01/01/2024,,01/01/2024,200087,"ביגלי ג'וני בע""מ",SO24000111,שולמה,Y,255042.0,LONGKOU,41941405LONGKOU,צ.ב קד מגאן 00-08/מגאן 2/לגונה 00+ קוטר 280,,,41.3,tabula,1,יהודה קורן,3.0,132670.0,2,43.5,129.98,3.9,2,0.0,0.0,0
62,01/01/2024,,,01/01/2024,,01/01/2024,200087,"ביגלי ג'וני בע""מ",SO24000111,שולמה,Y,255047.0,GSP,46900950GSP,ציריה שמאל ספורטאג' 10+ בנזין/IX35 בנזין,,,141.69,tabula,1,יהודה קורן,3.0,132670.0,1,71.69,219.95,6.6,1,0.0,0.0,0
63,01/01/2024,,,01/01/2024,,01/01/2024,200087,"ביגלי ג'וני בע""מ",SO24000111,שולמה,Y,255065.0,LPR,35390561LPR,ד.ב קד I35/I25/וולוסטר/ריו 12 I30/+12+,,,42.0,tabula,1,יהודה קורן,3.0,132670.0,10,181.42,619.95,18.6,10,0.0,0.0,0
64,01/01/2024,,,01/01/2024,,01/01/2024,200087,"ביגלי ג'וני בע""מ",SO24000111,שולמה,Y,255065.0,LPR,35941433LPR,ד.ב קד מגאן 09+/פלואנס/גרנד סניק 09+/קפצ'ור 13+/דאסטר,,,39.0,tabula,1,יהודה קורן,3.0,132670.0,3,72.17,194.99,5.85,3,0.0,0.0,0
65,01/01/2024,,,01/01/2024,,01/01/2024,200087,"ביגלי ג'וני בע""מ",SO24000111,שולמה,Y,260901.0,ספקים שונים,99760066,דמי משלוח חבילה,,,5.0,tabula,1,יהודה קורן,3.0,132670.0,1,-0.15,4.99,0.15,1,0.0,0.0,0
66,01/01/2024,,,01/01/2024,,01/01/2024,200087,"ביגלי ג'וני בע""מ",SO24000113,טיוטא,,255001.0,FANGTIAN,35391393MATEC,ד.ב קד אקסנט עד 06/גטס/סובארו ג'סטי 1.2,,,16.0,tabula,1,יהודה קורן,3.0,132670.0,5,41.24,124.97,3.75,5,124.98,124.97,5
67,01/01/2024,,,01/01/2024,,01/01/2024,200087,"ביגלי ג'וני בע""מ",SO24000113,טיוטא,,255042.0,LONGKOU,41941405LONGKOU,צ.ב קד מגאן 00-08/מגאן 2/לגונה 00+ קוטר 280,,,41.3,tabula,1,יהודה קורן,3.0,132670.0,2,43.5,129.98,3.9,2,129.99,129.98,2
68,01/01/2024,,,01/01/2024,,01/01/2024,200087,"ביגלי ג'וני בע""מ",SO24000113,טיוטא,,255047.0,GSP,46900950GSP,ציריה שמאל ספורטאג' 10+ בנזין/IX35 בנזין,,,141.69,tabula,1,יהודה קורן,3.0,132670.0,1,71.69,219.95,6.6,1,219.96,219.95,1
69,01/01/2024,,,01/01/2024,,01/01/2024,200087,"ביגלי ג'וני בע""מ",SO24000113,טיוטא,,255065.0,LPR,35390561LPR,ד.ב קד I35/I25/וולוסטר/ריו 12 I30/+12+,,,42.0,tabula,1,יהודה קורן,3.0,132670.0,10,181.42,619.95,18.6,10,619.95,619.95,10
70,01/01/2024,,,01/01/2024,,01/01/2024,200087,"ביגלי ג'וני בע""מ",SO24000113,טיוטא,,255065.0,LPR,35941433LPR,ד.ב קד מגאן 09+/פלואנס/גרנד סניק 09+/קפצ'ור 13+/דאסטר,,,39.0,tabula,1,יהודה קורן,3.0,132670.0,3,72.17,194.99,5.85,3,195.0,194.99,3
71,01/01/2024,,,01/01/2024,,01/01/2024,200087,"ביגלי ג'וני בע""מ",SO24000113,טיוטא,,260901.0,ספקים שונים,99760066,דמי משלוח חבילה,,,5.0,tabula,1,יהודה קורן,3.0,132670.0,1,-0.15,4.99,0.15,1,5.0,4.99,1
72,01/01/2024,,,01/01/2024,,01/01/2024,200087,"ביגלי ג'וני בע""מ",SO24000228,שולמה,Y,255042.0,LONGKOU,41371529LONGKOU,צ.ב אח קורולה 03-07,,,21.9,tabula,1,יהודה קורן,3.0,132680.0,2,28.95,74.96,2.25,2,0.0,0.0,0
73,01/01/2024,,,01/01/2024,,01/01/2024,200087,"ביגלי ג'וני בע""מ",SO24000228,שולמה,Y,255042.0,LONGKOU,41781306LONGKOU,צ.ב אח פאסאט 06+/טוראן עד 11/טיגואן 08+/סופרב 09+ קוטר 282,,,31.8,tabula,1,יהודה קורן,3.0,132680.0,2,41.17,107.96,3.24,2,0.0,0.0,0
74,01/01/2024,,,01/01/2024,,01/01/2024,200087,"ביגלי ג'וני בע""מ",SO24000228,שולמה,Y,255047.0,GSP,47610197GSP,פעמון איביזה 03+/קופרה/קורדובה 04+/רומסטר   VW812,,,49.21,tabula,1,יהודה קורן,3.0,132680.0,2,56.79,159.93,4.8,2,0.0,0.0,0
75,01/01/2024,,,01/01/2024,,01/01/2024,200087,"ביגלי ג'וני בע""מ",SO24000228,שולמה,Y,260901.0,ספקים שונים,99760066,דמי משלוח חבילה,,,5.0,tabula,1,יהודה קורן,3.0,132680.0,1,-0.15,4.99,0.15,1,0.0,0.0,0
76,01/01/2024,,,01/01/2024,,01/01/2024,200099,"התקווהא.ע. לסחר ושיווק בע""מ",SO24000148,טיוטא,,255047.0,GSP,46451209GSP,"ציריה ימין מזדה 3 1.6+2.0 06-08  אורך 56 ס""מ",,,130.48,shaia,1,יהודה קורן,3.0,,1,52.85,188.95,5.67,1,188.96,188.95,1
77,01/01/2024,,,01/01/2024,,01/01/2024,200099,"התקווהא.ע. לסחר ושיווק בע""מ",SO24000148,טיוטא,,255047.0,GSP,46451212GSP,ציריה שמאל מזדה 3 1.6 06-12/מזדה 3 2.0 עד 08 אום,,,136.89,shaia,1,יהודה קורן,3.0,,1,46.44,188.95,5.67,1,188.96,188.95,1
78,01/01/2024,,,01/01/2024,,01/01/2024,200099,"התקווהא.ע. לסחר ושיווק בע""מ",SO24000148,טיוטא,,255047.0,GSP,46451213GSP,"ציריה ימין מזדה 3 1.6 09-12 אורך 62 ס""מ אום",,,136.37,shaia,1,יהודה קורן,3.0,,1,52.78,194.95,5.85,1,194.96,194.95,1
79,01/01/2024,,,01/01/2024,,01/01/2024,200099,"התקווהא.ע. לסחר ושיווק בע""מ",SO24000148,טיוטא,,255047.0,GSP,46451415GSP,ציריה שמאל מזדה 5 עד 13/מזדה 3 2.0 09-12,,,115.85,shaia,1,יהודה קורן,3.0,,1,47.11,167.96,5.04,1,167.96,167.96,1
80,01/01/2024,,,01/01/2024,,01/01/2024,200099,"התקווהא.ע. לסחר ושיווק בע""מ",SO24000148,טיוטא,,255047.0,GSP,46451416GSP,ציריה ימין מזדה 5 עד 13/מזדה 3 2.0 09-12,,,125.87,shaia,1,יהודה קורן,3.0,,1,46.79,177.96,5.34,1,177.96,177.96,1
81,01/01/2024,,,01/01/2024,,01/01/2024,200117,ג'קי י.מ.חלפים לרכב בעמ,SO24000014,טיוטא,,255047.0,GSP,46552608GSP,ציריה שמאל אקו מיקרה 11-16 גיר רגיל,,,140.0,ilanc,1,יהודה קורן,3.0,,1,79.22,225.77,6.77,1,225.77,225.77,1
82,01/01/2024,,,01/01/2024,,01/01/2024,200117,ג'קי י.מ.חלפים לרכב בעמ,SO24000014,טיוטא,,260901.0,ספקים שונים,99760066,דמי משלוח חבילה,,,5.0,ilanc,1,יהודה קורן,3.0,,1,-0.15,4.99,0.15,1,5.0,4.99,1
83,01/01/2024,,,01/01/2024,,01/01/2024,200117,ג'קי י.מ.חלפים לרכב בעמ,SO24000121,טיוטא,,260901.0,ספקים שונים,99760066,דמי משלוח חבילה,,,5.0,idangilad,1,יהודה קורן,3.0,,1,-0.15,5.13,0.15,1,5.13,5.13,1
